['29632137883615', '三级单位', '100%', '上海迈外迪网络科技有限公司']
['64949627102137', '三级单位', '-', '天津金星创业投资有限公司']
['73722504982388', '三级单位', '-', '天津金星创业投资有限公司']
['29393215580833', '三级单位', '-', '天津金星创业投资有限公司']
['59494622199205', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['31071221767728', '三级单位', '-', '天津金星创业投资有限公司']
['31920793173468', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['31748732266088', '三级单位', '-', '天津金星创业投资有限公司']
['32699762290350', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['38001733028517', '三级单位', '-', '天津金星创业投资有限公司']
['23650049584761', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['31548582062310', '三级单位', '-', '天津金星创业投资有限公司']
['32610339270212', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['30132661156581', '三级单位', '-', '天津金星创业投资有限公司']
['22916969822414', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['30384489531128', '三级单位', '-', '天津金星创业投资有限公司']
['32515114545323', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['29815243224277', '三级单位', '-', '天津金星创业投资有限公司']
['50416371712071', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['44679521421351', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['64949627102137', '三级单位', '-', '天津金星创业投资有限公司']
['73722504982388', '三级单位', '-', '天津金星创业投资有限公司']
['29393215580833', '三级单位', '-', '天津金星创业投资有限公司']
['59494622199205', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['32699762290350', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['31920793173468', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['29815243224277', '三级单位', '-', '天津金星创业投资有限公司']
['31071221767728', '三级单位', '-', '天津金星创业投资有限公司']
['32610339270212', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['38001733028517', '三级单位', '-', '天津金星创业投资有限公司']
['44679521421351', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['23650049584761', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['31748732266088', '三级单位', '-', '天津金星创业投资有限公司']
['31548582062310', '三级单位', '-', '天津金星创业投资有限公司']
['30384489531128', '三级单位', '-', '天津金星创业投资有限公司']
['30132661156581', '三级单位', '-', '天津金星创业投资有限公司']
['50416371712071', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['32515114545323', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['22916969822414', '三级单位', '-', '湖北小米长江产业基金合伙企业(有限合伙)']
['29632137883615', '三级单位', '100%', '上海迈外迪网络科技有限公司']
['85737815761144', '主公司', '100%', '主公司']
['85737815761144', '主公司', '100%', '主公司']
['85737815761144', '主公司', '100%', '主公司']
['85737815761144', '主公司', '100%', '主公司']
